Name,Price,Rating,Brand,Gender,ProductType,Fragrance_family,Character,Ingredients,Concentration,Top_note,Middle_note,Base_note,Size,Year
Goutal Paris Eau de Monsieur EDT,701 SAR,none,Hermes,Women,Perfume,Chypre,Feminine,2017,"Ginger, Tuberose, Sandalwood",Eau de Parfum,Ginger,Tuberose,Pink,85 ml
Goutal Paris Duel EDP,839 SAR,none,Hermes,Women,Perfume,Chypre,Feminine,2017,"Ginger, Tuberose, Sandalwood",Eau de Parfum,Ginger,Tuberose,Pink,85 ml
Goutal Paris Ce Soir Ou Jamais EDP,839 SAR,none,Hermes,Women,Perfume,Chypre,Feminine,2017,"Ginger, Tuberose, Sandalwood",Eau de Parfum,Ginger,Tuberose,Pink,85 ml
Goutal Paris Ambre Fétiche EDP,569 SAR,none,Hermes,Women,Perfume,Chypre,Feminine,2017,"Ginger, Tuberose, Sandalwood",Eau de Parfum,Ginger,Tuberose,Pink,85 ml
Givenchy Gentlemen,329 SAR,none,Hermes,Women,Perfume,Chypre,Feminine,2017,"Ginger, Tuberose, Sandalwood",Eau de Parfum,Ginger,Tuberose,Pink,85 ml
Giorgio Armani Armani Code Turquoise Eau Fraiche,438 SAR,none,Hermes,Women,Perfume,Chypre,Feminine,2017,"Ginger, Tuberose, Sandalwood",Eau de Parfum,Ginger,Tuberose,Pink,85 ml
Al Dakheel Oud Masaya Gold EDP,138 SAR,none,Hermes,Women,Perfume,Chypre,Feminine,2017,"Ginger, Tuberose, Sandalwood",Eau de Parfum,Ginger,Tuberose,Pink,85 ml
Al Dakheel Oud Dehn Oud Almumayaz Perfume Oil,127 SAR,none,Hermes,Women,Perfume,Chypre,Feminine,2017,"Ginger, Tuberose, Sandalwood",Eau de Parfum,Ginger,Tuberose,Pink,85 ml
Al Dakheel Oud White Tag EDP,69 SAR,none,Hermes,Women,Perfume,Chypre,Feminine,2017,"Ginger, Tuberose, Sandalwood",Eau de Parfum,Ginger,Tuberose,Pink,85 ml
Al Dakheel Oud Mukhallat Al-Shioukh EDP,184 SAR,none,Hermes,Women,Perfume,Chypre,Feminine,2017,"Ginger, Tuberose, Sandalwood",Eau de Parfum,Ginger,Tuberose,Pink,85 ml
Al Dakheel Oud Majesta EDP,317 SAR,none,Hermes,Women,Perfume,Chypre,Feminine,2017,"Ginger, Tuberose, Sandalwood",Eau de Parfum,Ginger,Tuberose,Pink,85 ml
Al Dakheel Oud Lubaan EDP,138 SAR,none,Hermes,Women,Perfume,Chypre,Feminine,2017,"Ginger, Tuberose, Sandalwood",Eau de Parfum,Ginger,Tuberose,Pink,85 ml
Al Dakheel Oud AL-Abaya EDP,115 SAR,none,Hermes,Women,Perfume,Chypre,Feminine,2017,"Ginger, Tuberose, Sandalwood",Eau de Parfum,Ginger,Tuberose,Pink,85 ml
Al Dakheel Oud Silver Stone EDP,104 SAR,none,Hermes,Women,Perfume,Chypre,Feminine,2017,"Ginger, Tuberose, Sandalwood",Eau de Parfum,Ginger,Tuberose,Pink,85 ml
Al Dakheel Oud Blackly EDP,288 SAR,none,Hermes,Women,Perfume,Chypre,Feminine,2017,"Ginger, Tuberose, Sandalwood",Eau de Parfum,Ginger,Tuberose,Pink,85 ml
Al Dakheel Oud Green Tag EDP,69 SAR,none,Hermes,Women,Perfume,Chypre,Feminine,2017,"Ginger, Tuberose, Sandalwood",Eau de Parfum,Ginger,Tuberose,Pink,85 ml
Al Dakheel Oud Amadora EDP,288 SAR,none,Hermes,Women,Perfume,Chypre,Feminine,2017,"Ginger, Tuberose, Sandalwood",Eau de Parfum,Ginger,Tuberose,Pink,85 ml
Al Dakheel Oud Royal Mixture Perfume Oil,432 SAR,none,Hermes,Women,Perfume,Chypre,Feminine,2017,"Ginger, Tuberose, Sandalwood",Eau de Parfum,Ginger,Tuberose,Pink,85 ml
Al Dakheel Oud Blend Musk And Sandal EDP,161 SAR,none,Hermes,Women,Perfume,Chypre,Feminine,2017,"Ginger, Tuberose, Sandalwood",Eau de Parfum,Ginger,Tuberose,Pink,85 ml
Al Dakheel Oud Musk Special EDP,104 SAR,none,Hermes,Women,Perfume,Chypre,Feminine,2017,"Ginger, Tuberose, Sandalwood",Eau de Parfum,Ginger,Tuberose,Pink,85 ml
Al Dakheel Oud Musk Pomegranate Scent EDP,104 SAR,none,Hermes,Women,Perfume,Chypre,Feminine,2017,"Ginger, Tuberose, Sandalwood",Eau de Parfum,Ginger,Tuberose,Pink,85 ml
Al Dakheel Oud Musk Vanilla EDP,104 SAR,none,Hermes,Women,Perfume,Chypre,Feminine,2017,"Ginger, Tuberose, Sandalwood",Eau de Parfum,Ginger,Tuberose,Pink,85 ml
